QueryID,Category,Query,Model,Type,Experiment,Prec@5,Recall@5,Avg_Sim,MRR@5,nDCG@5,Quality
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,MiniLM-L6,general,A,0.8,0.444,0.6541,0.521,1.0,0.7736
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,MiniLM-L6,general,A,1.0,0.455,0.5658,0.457,1.0,0.8189
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,MiniLM-L6,general,A,1.0,0.455,0.6315,0.457,1.0,0.8189
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",MiniLM-L6,general,A,0.4,0.182,0.6085,0.625,0.877,0.6341
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,MiniLM-L6,general,A,0.8,0.333,0.6167,0.521,1.0,0.7736
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",MiniLM-L6,general,A,0.8,0.5,0.5599,0.487,0.956,0.7478
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,MiniLM-L6,general,A,0.8,0.333,0.6012,0.521,1.0,0.7736
Q08,Surgery,What surgical steps were described in a laparoscopic antecolic an…,MiniLM-L6,general,A,1.0,0.417,0.6614,0.457,1.0,0.8189
Q09,Surgery,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",MiniLM-L6,general,A,0.6,0.2,0.5515,0.611,1.0,0.737
Q10,Surgery,Describe the eating history and weight loss attempts of a single …,MiniLM-L6,general,A,1.0,0.385,0.6467,0.457,1.0,0.8189
Q11,Surgery,What port placement and bowel division technique was used in a 30…,MiniLM-L6,general,A,0.8,0.364,0.5922,0.446,0.905,0.7169
Q12,Surgery,"In a bariatric consult, what family history, social habits, and r…",MiniLM-L6,general,A,1.0,0.385,0.6082,0.457,1.0,0.8189
Q13,Surgery,"What complications like anastomotic leak, bleeding, DVT, and bowe…",MiniLM-L6,general,A,1.0,0.455,0.6647,0.457,1.0,0.8189
Q14,Internal Med,What were the key 2-D M-mode and Doppler findings in an echocardi…,MiniLM-L6,general,A,1.0,0.417,0.6153,0.457,1.0,0.8189
Q15,Internal Med,Describe the left ventricular findings in a hyperdynamic echocard…,MiniLM-L6,general,A,1.0,0.455,0.6189,0.457,1.0,0.8189
Q16,Internal Med,"In an echo report, what valve abnormalities and pressures were no…",MiniLM-L6,general,A,1.0,0.385,0.6284,0.457,1.0,0.8189
Q17,Internal Med,What normal findings were reported in an echocardiogram with no p…,MiniLM-L6,general,A,1.0,0.417,0.7409,0.457,1.0,0.8189
Q18,Internal Med,For a patient with mild tricuspid regurgitation and right heart p…,MiniLM-L6,general,A,0.8,0.4,0.5805,0.508,0.983,0.7637
Q19,Surgery,What procedure details and anesthesia were used in a liposuction …,MiniLM-L6,general,A,0.6,0.25,0.6847,0.567,0.947,0.7045
Q20,Surgery,In a suction-assisted lipectomy for abdominal and thigh lipodystr…,MiniLM-L6,general,A,1.0,0.5,0.6319,0.457,1.0,0.8189
Q21,Cross-spec,Compare the ejection fraction and chamber sizes reported across d…,MiniLM-L6,general,A,0.8,0.4,0.5439,0.446,0.905,0.7169
Q22,Cross-spec,"What common comorbidities (asthma, diabetes, sleep apnea) appear …",MiniLM-L6,general,A,0.8,0.308,0.4804,0.508,0.983,0.7637
Q23,Cross-spec,Describe any mention of allergy testing (RAST) or EpiPen prescrip…,MiniLM-L6,general,A,0.8,0.364,0.5125,0.508,0.983,0.7637
Q24,Cross-spec,"What physical exam findings (wheezing, edema, vital signs) were d…",MiniLM-L6,general,A,0.6,0.25,0.5635,0.567,0.947,0.7045
Q25,Cross-spec,"In cases involving anastomosis (gastric bypass or other), what te…",MiniLM-L6,general,A,1.0,0.417,0.6169,0.457,1.0,0.8189
Q01,Allergy/ENT,What treatments were recommended for a patient with allergic rhin…,bge-small,general,A,0.8,0.444,0.7459,0.508,0.983,0.7637
Q02,Allergy/ENT,Describe the physical exam findings in the nose and throat for a …,bge-small,general,A,1.0,0.455,0.7891,0.457,1.0,0.8189
Q03,Allergy/ENT,What nasal spray samples and alternative oral medication were sug…,bge-small,general,A,0.8,0.364,0.7522,0.521,1.0,0.7736
Q04,Allergy/ENT,"For a patient with chronic sinusitis, facial pain, postnasal drip…",bge-small,general,A,1.0,0.455,0.7487,0.457,1.0,0.8189
Q05,Allergy/ENT,What history and recommendations were given for a 55-year-old fem…,bge-small,general,A,0.8,0.333,0.7614,0.508,0.983,0.7637
Q06,Internal Med,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",bge-small,general,A,0.8,0.5,0.7489,0.508,0.983,0.7637
Q07,Allergy/ENT,What symptoms and plan were documented for a 42-year-old woman wi…,bge-small,general,A,0.6,0.25,0.7524,0.611,1.0,0.737
