QueryID,Query,Model,Type,ChunkStyle,Prec@5,Recall@5,Avg_Sim,MRR@5,nDCG@5,Quality
Q01,What treatments were recommended for a patient with allergic rhin…,MiniLM-L6,general,sentence,1.0,1.0,0.6537,0.457,1.0,0.7776
Q02,Describe the physical exam findings in the nose and throat for a …,MiniLM-L6,general,sentence,1.0,1.0,0.5658,0.457,1.0,0.7556
Q03,What nasal spray samples and alternative oral medication were sug…,MiniLM-L6,general,sentence,1.0,1.0,0.6312,0.457,1.0,0.772
Q04,"For a patient with chronic sinusitis, facial pain, postnasal drip…",MiniLM-L6,general,sentence,0.8,0.8,0.6083,0.521,1.0,0.7323
Q05,What history and recommendations were given for a 55-year-old fem…,MiniLM-L6,general,sentence,1.0,1.0,0.6167,0.457,1.0,0.7683
Q06,"In a case of Kawasaki disease in a 14-month-old, what discharge m…",MiniLM-L6,general,sentence,1.0,1.0,0.5598,0.457,1.0,0.7541
Q07,What symptoms and plan were documented for a 42-year-old woman wi…,MiniLM-L6,general,sentence,1.0,1.0,0.6009,0.457,1.0,0.7644
Q08,What surgical steps were described in a laparoscopic antecolic an…,MiniLM-L6,general,sentence,1.0,1.0,0.6614,0.457,1.0,0.7795
Q09,"For a 42-year-old male weighing 344 pounds with BMI 51, sleep apn…",MiniLM-L6,general,sentence,1.0,1.0,0.5516,0.457,1.0,0.7521
Q10,Describe the eating history and weight loss attempts of a single …,MiniLM-L6,general,sentence,1.0,1.0,0.6467,0.457,1.0,0.7758
Q11,What port placement and bowel division technique was used in a 30…,MiniLM-L6,general,sentence,0.8,0.8,0.5919,0.521,1.0,0.7282
Q12,"In a bariatric consult, what family history, social habits, and r…",MiniLM-L6,general,sentence,1.0,1.0,0.6082,0.457,1.0,0.7662
Q13,"What complications like anastomotic leak, bleeding, DVT, and bowe…",MiniLM-L6,general,sentence,1.0,1.0,0.6647,0.457,1.0,0.7804
Q14,What were the key 2-D M-mode and Doppler findings in an echocardi…,MiniLM-L6,general,sentence,1.0,1.0,0.6152,0.457,1.0,0.768
Q15,Describe the left ventricular findings in a hyperdynamic echocard…,MiniLM-L6,general,sentence,1.0,1.0,0.6191,0.457,1.0,0.7689
Q16,"In an echo report, what valve abnormalities and pressures were no…",MiniLM-L6,general,sentence,1.0,1.0,0.6286,0.457,1.0,0.7713
